speaker,text,time
Guilherme Vieira,Aí ela vai mapear isso.,324.563
Guilherme Vieira,"E é engraçado que assim, ao mesmo tempo é...",326.983
Guilherme Vieira,Isso dá uma visão do que dá pra ser feito.,330.003
Guilherme Vieira,"E ao mesmo tempo é simples, né?",335.083
Guilherme Vieira,Tipo...,336.263
Guilherme Vieira,"Não é uma coisa que, nossa, eu tenho que criar um algoritmo pra criar um processo.",337.323
Guilherme Vieira,"Não, é só mapear suas tarefas.",343.063
Guilherme Vieira,Achei legal.,346.403
Guilherme Vieira,"E é isso, então, aí eu até falei, teve algumas etapas que a gente colocou ali, que eu falei, olha, eu já testo tudo aqui, já valido tudo aqui local e já quando eu subo já tá funcionando.",350.272
Guilherme Vieira,"Que aí ela ia colocar dois ambientes novos, né?",363.333
Guilherme Vieira,"Que aí, por exemplo, ela fez a alteração, joga pra esse ambiente nosso interno pra fazer o teste.",367.133
Guilherme Vieira,"Que a gente tem os mesmos dados, mas num ambiente controlado.",372.213
Guilherme Vieira,"Se der ruim, apagar alguma coisa, a gente não perde.",375.933
Guilherme Vieira,"Aí o segundo é um ambiente também igual, só que com o cliente tendo acesso.",379.313
Guilherme Vieira,"Aí ele validando, aí sim vai pra produção.",384.253
Guilherme Vieira,"Aí assim, do ponto de vista, tipo, só eu fazendo, É bastante burocracia.",386.833
Guilherme Vieira,"Mas se a gente pensar em estar delegando, vai evitar muita dor de cabeça.",392.273
Guilherme Vieira,Estagiário apagou o banco sem querer.,397.373
Guilherme Vieira,"Então, já ajuda bastante esse tipo de processo.",400.273
Marcelo Kuwer,"Tá, legal.",406.173
Marcelo Kuwer,"Bom, vamos lá.",411.133
Marcelo Kuwer,"O que eu preciso ver contigo, então?",412.113
Marcelo Kuwer,"Os andamentos do que a gente estava fazendo, né?",417.181
Marcelo Kuwer,Ali acho que da gestão de tráfego.,423.141
Marcelo Kuwer,Alô?,424.761
Guilherme Vieira,"Oi, tô aqui.",425.341
Marcelo Kuwer,Ficou pendente da gente.,426.481
Marcelo Kuwer,"E também, o que que era?",428.741
Marcelo Kuwer,"Ah, tu falou que apareceu alguma coisa de mudança de senha, né?",433.601
Marcelo Kuwer,"A gente foi hackeado, eu acho, cara.",436.561
Marcelo Kuwer,A Andressa também recebeu isso de outros...,438.901
Marcelo Kuwer,"Aplicativos que a gente usa e ela teve que mudar a senha e e-mail de todos porque alguém entrou e não sei quem é, enfim, mas deu ruim.",442.139
Guilherme Vieira,Tá.,452.899
Guilherme Vieira,Eita.,453.799
Guilherme Vieira,"É, qualquer coisa a gente recria o aplicativo.",454.459
Guilherme Vieira,"Inclusive, é...",459.119
Marcelo Kuwer,"Não, não, mas não vai precisar.",461.099
Marcelo Kuwer,"Porque a conta da Mai eu tenho acesso, eu tô logado aqui.",462.439
Guilherme Vieira,"É, estranho.",468.739
Guilherme Vieira,"Então, o que eu tinha, que eu achei que poderia acontecer é que, sei lá, alguém, algum cliente lá...",472.21
Guilherme Vieira,"Ih, sumiu.",478.95
Guilherme Vieira,Oi?,480.15
Guilherme Vieira,Oi?,481.15
Guilherme Vieira,Eu sou...,487.63
Marcelo Kuwer,"Voltei, voltei, voltei.",497.101
Guilherme Vieira,"Deu um corte aqui, você tava ali, piscou, aí tá na sua cadeira.",498.241
Marcelo Kuwer,"Eu fui pedir pro pessoal sair do Wi-Fi pra ver se melhora, porque tá muito ruim.",502.661
Guilherme Vieira,Provável.,509.881
Guilherme Vieira,"Ah, se quiser a gente vai sem câmera, que aí não pesa tanto.",510.801
Guilherme Vieira,Aí você que sabe.,514.081
Marcelo Kuwer,"Não, mas eu queria ver o que tu fez lá, o que tu criou, enfim, não sei, talvez assim, ó.",515.541
Marcelo Kuwer,Qual a etapa que tu quer prosseguir aqui?,521.722
Marcelo Kuwer,O que tu quer me mostrar ou o que tu quer que eu faça do aplicativo?,524.942
Marcelo Kuwer,O que que deu?,528.642
Marcelo Kuwer,Ele saiu do ar?,529.702
Guilherme Vieira,"É, o aplicativo deu esse erro aí.",531.922
Guilherme Vieira,"Eu estava vendo ontem, que você tinha me colocado como administrador dele.",534.582
Guilherme Vieira,Tinha cinco mensagens lá da própria meta falando que ia descontinuar a versão da API que a gente estava usando.,540.242
Guilherme Vieira,Aí eu atualizei já para a versão 25.,547.622
Guilherme Vieira,"Ah, que ruim.",551.202
Guilherme Vieira,Aí tava dando esse erro.,552.822
Guilherme Vieira,Deixa eu achar aqui se eu consigo...,554.622
Guilherme Vieira,Tá rodando...,556.042
Guilherme Vieira,Aqui.,557.302
Guilherme Vieira,"Ó, eu vou...",558.122
Marcelo Kuwer,"Pois é, tu...",559.022
Marcelo Kuwer,Tu quer que eu acesse aqui alguma coisa pra...,560.222
Marcelo Kuwer,Preciso fazer alguma validação?,563.562
Guilherme Vieira,"Ah, se tiver fácil aí...",567.822
Guilherme Vieira,Tá fácil?,569.842
Guilherme Vieira,"E aí, talvez a gente gere um novo token e...",571.302
Guilherme Vieira,Porque de vez em quando também dá aquele erro de permissão.,577.139
Guilherme Vieira,"Tipo, a conta do cliente está no aplicativo, ele reconhece, mas ele fala, olha, essa conta aqui não tem permissão para ler anúncios, por exemplo.",580.139
Guilherme Vieira,"Mesmo a gente tendo pedido, né?",591.099
Guilherme Vieira,"Aí talvez, se ainda assim começar a ficar nessa de funciona ou não funciona, a gente pode talvez colocar ele para produção de vez, porque ele está em modo de desenvolvimento, ele não está em produção.",593.419
Guilherme Vieira,"O modo produção, a gente só quer, assim, é mais trabalhoso, tem que preencher um monte de formulário lá falando como que a gente usa cada uma das coisas, mostrar telas, mostrar, enfim.",605.945
Guilherme Vieira,"A boa é que a gente pode mostrar o Orquest como sendo a parte do aplicativo, né?",617.665
Guilherme Vieira,"Porque aí, tendo ele em produção, o que acontece?",625.065
Guilherme Vieira,A gente só passa o link para a pessoa fazer o login.,629.62
Guilherme Vieira,"Então, o próprio cliente vai lá, faz o login e já dá as permissões automáticas.",632.52
Guilherme Vieira,"Então, ficaria bem mais simples de fazer toda essa gestão.",637.32
Guilherme Vieira,Se você for lá no...,643.84
Guilherme Vieira,Deixa eu ver.,646.84
Marcelo Kuwer,É em aplicativos ou é em developers?,647.56
Guilherme Vieira,Developers.,650.82
Guilherme Vieira,"Developers, que vai ter o aplicativo, os apps, né?",651.94
Guilherme Vieira,É em developers.,654.92
Marcelo Kuwer,É metadevelopers?,655.62
Guilherme Vieira,É developers.meta.,657.48
Guilherme Vieira,É no URL.,661.497
Guilherme Vieira,Developers.meta ou é Facebook?,664.057
Marcelo Kuwer,Developers.facebook.com.apps.,667.837
Guilherme Vieira,Beleza.,673.317
Marcelo Kuwer,"É o MMMarketingIAN8N, né?",675.037
Guilherme Vieira,Vamos até aproveitar aqui e testar para ver se dá certo rodar a análise.,680.357
Guilherme Vieira,Tá dando a mesma mensagem aqui.,692.176
Guilherme Vieira,A senha mudou e então eles inviabilizaram o Token.,694.816
Guilherme Vieira,"A sessão do Token, na verdade.",700.076
Marcelo Kuwer,"Ah, mas daí então vamos gerar outro Token, né?",702.336
Marcelo Kuwer,É.,704.436
Guilherme Vieira,Boa.,705.096
Guilherme Vieira,Aí já gera aqui o J8N e.,705.676
Marcelo Kuwer,Já...,708.536
Marcelo Kuwer,Como é que é aqui mesmo?,710.656
Guilherme Vieira,Vai...,712.196
Guilherme Vieira,"Olha, clica nos alertas, só pra ver.",717.303
Guilherme Vieira,"É que apareceu um novo aí, ontem tinha cinco só.",719.283
Guilherme Vieira,Só pra ver se é o mesmo.,722.123
Guilherme Vieira,"Ah tá, é isso mesmo.",724.383
Guilherme Vieira,"A API 23 vai deixar de existir, eu já atualizei pra 25, que é a atual.",725.283
Guilherme Vieira,Agora...,731.283
Guilherme Vieira,Agora onde é que era?,734.243
Guilherme Vieira,"Deixa eu ver, clica lá em cima, ali em ferramentas.",736.623
Guilherme Vieira,É que aquele...,739.643
Marcelo Kuwer,É que a gente não tinha aqui no grupo...,740.443
Guilherme Vieira,"Esse acho que era o procedimento pra adicionar Adicional pessoal, era na descrição.",743.723
Guilherme Vieira,"Processo adicionário, ele é app da M&M.",750.726
Guilherme Vieira,Adicionário M&M.,753.066
Guilherme Vieira,"É, esse foi só o app, não foi o projeto do Tolkien.",754.846
Guilherme Vieira,"É bom, a gente já mapeia e já coloca.",757.326
Marcelo Kuwer,"Não, mas é porque tem um aqui, ó.",760.506
Marcelo Kuwer,"Ah, bom, quer ver?",762.106
Marcelo Kuwer,E a...,764.546
Marcelo Kuwer,"Cadê, cadê, cadê, cadê?",766.546
Marcelo Kuwer,Eu tinha um outro grupo aqui.,769.826
Marcelo Kuwer,"Ô, caramba, cadê?",774.186
Guilherme Vieira,Pedro.,776.026
Marcelo Kuwer,"Nossa, mas tá tudo lento, cara, hoje, pelo amor de Deus.",780.01
Guilherme Vieira,Deixa eu ver.,785.69
Marcelo Kuwer,Onde é que aparece os grupos que eu estou com essa pessoa?,786.43
Guilherme Vieira,"Aqui, ó.",790.65
Marcelo Kuwer,Link do plano de relatório.,799.27
Marcelo Kuwer,Como renovar Toki.,803.69
Marcelo Kuwer,Ele tinha feito um vídeo...,805.45
Guilherme Vieira,Já coloca esse link na descrição também.,813.136
Guilherme Vieira,"Beleza,.",819.576
Marcelo Kuwer,"Agora vamos ver se foi Cara, olha que lento, velho.",840.956
Marcelo Kuwer,"Não, a internet aqui nessa cidade tá terrível.",847.208
Marcelo Kuwer,É um provedor e os caras cresceram demais e...,854.668
Marcelo Kuwer,Foi eleito um dos melhores do Brasil e do nada...,860.868
Marcelo Kuwer,"É sempre assim, né?",863.708
Marcelo Kuwer,"Só bem, né?",865.008
Guilherme Vieira,Qual que é o provedor daí?,866.668
Guilherme Vieira,"Ah, ele fez em cima do seu mesmo.",873.667
Guilherme Vieira,Erraditas.,882.427
Marcelo Kuwer,Não é aqui não.,888.627
Guilherme Vieira,Mas será que era token de usuário?,905.662
Guilherme Vieira,Porque tinha um tipo de token que ele expirava.,907.482
Marcelo Kuwer,"Mas então, esse token que expirava, ele não era pra expirar mais, ele era permanente, o último que eu criei.",912.222
Guilherme Vieira,"É, então, eu lembro que...",920.062
Guilherme Vieira,Só que eu não lembrava de ser nessa tela aí.,921.782
Guilherme Vieira,"Porque, ó, tá vendo?",924.482
Guilherme Vieira,"Clica em usuários da página, tem, acho que, três tipos de token, ó.",924.982
Guilherme Vieira,"É, isso aí.",928.782
Guilherme Vieira,"Obter token do usuário, token do aplicativo, desinstalar token de acesso à página.",930.535
Marcelo Kuwer,"Então, vou botar aqui, obter token do aplicativo?",936.775
Guilherme Vieira,"É, tenta aí para ver.",939.895
Guilherme Vieira,"Ah, não, mas esse token é estranho.",941.955
Guilherme Vieira,É pequenininho.,945.495
Guilherme Vieira,Normalmente é aquele monte de letra.,946.535
Guilherme Vieira,"É, só se for o usuário mesmo.",948.695
Guilherme Vieira,"Faz o seguinte, eu acho que dá para, depois lá em ferramentas, tem a opção de validar o token.",951.295
Guilherme Vieira,Aí você gera ele e a gente vê quando que vai expirar.,956.395
Marcelo Kuwer,"Tá, então eu vou em usuário?",959.763
Guilherme Vieira,"Isso, usuário.",962.003
Guilherme Vieira,"É, aqui, direita.",963.783
Guilherme Vieira,Ué.,965.003
Marcelo Kuwer,Vê que ele abriu uma página nova.,965.423
Guilherme Vieira,"Não, não era pra ter aberto, não.",967.423
Guilherme Vieira,Era pra ser só...,969.903
Guilherme Vieira,"Ah, tá, ele tá exigindo que você logue de novo.",971.823
Guilherme Vieira,Aceitar apenas apps atuais.,977.743
Guilherme Vieira,"Tá, é isso aí.",979.943
Guilherme Vieira,"Ah, a telinha dos futuros, né?",987.91
Guilherme Vieira,Agora apareceu do nada.,990.39
Guilherme Vieira,"A gente tá procurando ela, né?",992.75
Guilherme Vieira,"Tipo, aceitar futuros, futuras contas.",995.29
Marcelo Kuwer,Beleza.,999.83
Guilherme Vieira,Será que foi isso?,1001.23
Guilherme Vieira,"Tipo, ele perdeu essa conexão?",1003.71
Guilherme Vieira,Por isso que a gente não tava conseguindo conversar com algum.,1006.73
Marcelo Kuwer,"Mas pelo jeito ele girou já um token, né?",1009.41
Guilherme Vieira,"Girou, girou.",1012.07
Guilherme Vieira,"Manda aí, sei que esse aí vai ser o...",1012.83
Guilherme Vieira,"E aí, copia ele também, manda aqui no grupo.",1014.71
Guilherme Vieira,"Por favor, manda no...",1017.391
Guilherme Vieira,Lá em ferramentas vai ter...,1020.051
Guilherme Vieira,"Deixa eu já pegar aqui, já não estou achando o jeito.",1022.871
Guilherme Vieira,E aí vai ter em ferramentas vai ter depurador de token de acesso.,1027.811
Marcelo Kuwer,Beleza.,1041.331
Guilherme Vieira,Cola ele aí nessa...,1043.451
Guilherme Vieira,Isso.,1045.091
Guilherme Vieira,"Toda hora também eu coloco essa chavinha aí, apertou, acho que é option, option B.",1049.183
Marcelo Kuwer,"Foi, tá depurado.",1057.263
Guilherme Vieira,"Ah, inspira, aí ó, tá vendo?",1060.883
Guilherme Vieira,Inspira cerca de uma hora.,1063.663
Guilherme Vieira,"É, então ele não é o...",1067.303
Guilherme Vieira,"É, não adianta, se a gente colocar ele agora, daqui a pouco vai ter que mudar de novo.",1069.023
Marcelo Kuwer,"Então tá errado, não é esse.",1073.003
Guilherme Vieira,"Eu lembro que eu tinha mandado um que ele falava justamente de gerar o token sem precisar ficar renovando, que era um token...",1079.086
Guilherme Vieira,"É, mas...",1086.686
Marcelo Kuwer,Pois é.,1088.106
Marcelo Kuwer,"Tá, então vamos de novo aqui.",1088.906
Marcelo Kuwer,Vamos voltar pra cá.,1090.966
Marcelo Kuwer,"Que estranho, cara.",1097.246
Marcelo Kuwer,Ferramentas...,1100.706
Guilherme Vieira,"É, e você já tá na parte de gerar um...",1103.437
Guilherme Vieira,"Uma das partes de gerar token, só não lembrava que era essa parte.",1105.437
Guilherme Vieira,Ahn...,1109.217
Guilherme Vieira,Token de acesso.,1110.237
Marcelo Kuwer,Explorador...,1112.817
Marcelo Kuwer,"Deixa eu botar em gerar token, pra ver se ele vai jogar pra outra página.",1114.877
Marcelo Kuwer,"Ó, jogou pra outra página.",1119.617
Guilherme Vieira,"É, ele pede pra reconectar.",1121.637
Marcelo Kuwer,Vamo reconectar então.,1124.517
Guilherme Vieira,Beleza.,1127.457
Marcelo Kuwer,Mas eu lembro que tinha como criar um permanente.,1132.495
Guilherme Vieira,Uhum.,1135.055
Marcelo Kuwer,"Ó, criou outro token, mas aí vai ser...",1137.755
Guilherme Vieira,"É, você copia ele, vai lá no ferramentas, abre uma nova aba, depurador, vê se a expiração tá lá mesmo.",1140.495
Guilherme Vieira,"Ou, será que o token é aplicativo?",1149.355
Guilherme Vieira,"Por mais que o token seja pequenininho, e eu não vi ninguém usando ele, dá pra talvez testar, né?",1151.675
Guilherme Vieira,"Então, inspira, mas gera só por uma hora.",1158.601
Guilherme Vieira,Como gerar tokens permanentes no Metaedits app.,1163.781
Guilherme Vieira,Eita.,1173.421
Guilherme Vieira,Vou conectar de novo.,1175.881
Guilherme Vieira,Metaedits token permanente significa um token do usuário do sistema criado no business manager e gerado para um app específico.,1177.981
Guilherme Vieira,"Ah, então é pela, acho que é pela BM.",1184.801
Guilherme Vieira,Você vai...,1187.052
Guilherme Vieira,"Cria um app, beleza.",1188.332
Guilherme Vieira,"Na BM, vai em configurações de negócio, usuários, usuários do sistema.",1190.652
Guilherme Vieira,"Então é a configuração, é isso, acho que é isso mesmo.",1196.472
Guilherme Vieira,Configuração.,1201.612
Marcelo Kuwer,Falei que está carregando.,1205.992
Guilherme Vieira,Não pediu acesso.,1209.652
Guilherme Vieira,"Ah, vai pedir a confirmação.",1211.172
Guilherme Vieira,"Ah, não.",1212.692
Guilherme Vieira,"Ah, é.",1214.072
Guilherme Vieira,Pelo menos evoluiu isso.,1214.852
Guilherme Vieira,Esse negócio da digital no teclado ajuda pra caramba.,1218.288
Marcelo Kuwer,Demais.,1223.108
Guilherme Vieira,Precisa ficar digitando código a mais.,1223.888
Marcelo Kuwer,Peraí que ele tá carregando.,1233.608
Marcelo Kuwer,Beleza.,1237.128
Guilherme Vieira,Opa.,1238.668
Guilherme Vieira,Pescoço.,1239.888
Guilherme Vieira,Usuários do sistema.,1241.528
Guilherme Vieira,"Aí, embaixo.",1246.888
Guilherme Vieira,"MM, System User, aqui acho que...",1252.983
Guilherme Vieira,"Aqui, isso aí.",1256.223
Guilherme Vieira,"Aí seleciona o app, beleza.",1261.403
Guilherme Vieira,"Aí esse, ali ó.",1264.603
Guilherme Vieira,"Isso, agora sim.",1266.283
Guilherme Vieira,Eu não tava lembrado dessa telinha.,1267.863
Guilherme Vieira,"Da outra telinha, né?",1270.903
Guilherme Vieira,"Ó, os 14 selecionadores...",1272.963
Guilherme Vieira,Digita ads pra ver se tá tudo...,1275.343
Guilherme Vieira,"É, ads.",1278.043
Guilherme Vieira,"Ahn, tá.",1279.915
Guilherme Vieira,"Facebook, Content...",1280.835
Guilherme Vieira,"Tá, esse aí não, acho que não precisa não.",1281.955
Guilherme Vieira,"Tá, tá certo.",1283.635
Guilherme Vieira,Temos as permissões.,1284.375
Guilherme Vieira,Aí você gera ele e manda no...,1286.955
Guilherme Vieira,No...,1290.315
Guilherme Vieira,Aprovação necessária.,1291.735
Guilherme Vieira,"É, agora vai precisar.",1293.475
Marcelo Kuwer,"Agora precisa que alguém acesse essa conta e dê permissão, né?",1296.855
Guilherme Vieira,Isso.,1302.555
Guilherme Vieira,"Aí, acho que se você clicar em ver detalhes dá pra ver quem que é.",1303.755
Marcelo Kuwer,"A Thay tá aqui, ó.",1307.708
Marcelo Kuwer,"Deixa eu pedir pra ela fazer lá, só um pouquinho.",1309.328
Marcelo Kuwer,O Matheus não tá nem preso dele.,1311.008
Marcelo Kuwer,Tá.,1365.978
Marcelo Kuwer,"Aí, beleza.",1366.638
Marcelo Kuwer,Ela aceitou lá.,1368.538
Marcelo Kuwer,Onde é que eu vou agora?,1370.498
Guilherme Vieira,"Continua lá, no usuário do sistema.",1372.358
Guilherme Vieira,É lá em cima mesmo.,1375.318
Guilherme Vieira,"Aí, ali.",1376.298
Guilherme Vieira,"Isso, girou.",1378.798
Guilherme Vieira,Aí a gente copia esse token.,1379.758
Guilherme Vieira,"Isso aí, copia, manda pra mim, por favor.",1384.718
Guilherme Vieira,E já vai no depurar.,1387.138
Guilherme Vieira,Eu vou marcar isso aqui como...,1390.178
Guilherme Vieira,"Vou colocar isso aqui, inválido, responder.",1392.978
Marcelo Kuwer,Depurado.,1396.638
Guilherme Vieira,"Isso, lá na ferramentas, depurador de token.",1397.778
Guilherme Vieira,Inválido.,1401.758
Guilherme Vieira,Esse aqui que eu copiei agora é o que você mandou.,1402.598
Guilherme Vieira,Esse é pra estar válido.,1405.718
Guilherme Vieira,Vamos lá.,1406.998
Guilherme Vieira,Eu já salvo aqui também.,1408.118
Guilherme Vieira,Como é que tá a expira?,1411.018
Guilherme Vieira,Você colou?,1413.358
Guilherme Vieira,Não?,1414.198
Guilherme Vieira,Não.,1414.838
Marcelo Kuwer,"Ó, nunca.",1415.758
Guilherme Vieira,"Boa, boa.",1417.258
Guilherme Vieira,"Ó, o Perplexe aqui falou pra mim que mesmo sendo um token que não expira, Ele expira.",1418.178
Guilherme Vieira,"Pode ser que ele perca um pouco das permissões, não sei exatamente porquê.",1425.876
Guilherme Vieira,"Talvez seja porque a gente está em modo desenvolvimento, porque a gente perde a...",1431.316
Marcelo Kuwer,"Então vamos lembrar de uma coisa, toda vez que a gente fizer alguma, notar que aconteceu alguma coisa de travamento na conta, também vale a gente gerar um novo token, né?",1435.816
Guilherme Vieira,"Sim, sim.",1449.536
Marcelo Kuwer,"Tá, então isso aqui é pra estar resolvido, né?",1453.036
Guilherme Vieira,"É, deixa eu só ver aqui como é que vai ficar.",1456.916
Guilherme Vieira,Peraí que eu vou gerar pelo orquestre aqui.,1460.596
Guilherme Vieira,O orquestre eu coloquei...,1463.896
Guilherme Vieira,Deixa eu ver se eu consigo mostrar a tela.,1465.796
Guilherme Vieira,"É só a prévia, por enquanto só tá local, né?",1467.856
Guilherme Vieira,"Eu não consegui puxar os dados ainda, mas...",1470.176
Guilherme Vieira,Deixa eu compartilhar a tela...,1473.776
Guilherme Vieira,"A tela, janela...",1477.136
Guilherme Vieira,Como que vai...,1481.993
Guilherme Vieira,Como que vai aparecer?,1484.233
Guilherme Vieira,Tá aparecendo aí?,1485.853
Marcelo Kuwer,Aham.,1487.813
Guilherme Vieira,"Ó, eu tô na parte local, né?",1489.193
Guilherme Vieira,"Tá no local aqui, beleza.",1491.013
Guilherme Vieira,Tá rodando aqui na minha máquina.,1491.993
Guilherme Vieira,"Então assim, você vai ter o projeto, beleza.",1493.513
Guilherme Vieira,"Esse aqui foi um projeto de teste que eu tô rodando na conta, localmente.",1495.633
Guilherme Vieira,"Vai em detalhes de projeto, vai ter aqui.",1499.153
Guilherme Vieira,"Aí a gente vai ter essa nova aba, tá?",1501.413
Guilherme Vieira,Que é a Metaeds.,1503.793
Guilherme Vieira,"Então, aqui nessa Metaeds, a gente vai ter aquela automação.",1505.953
Guilherme Vieira,"Então, assim, cada projeto vai ter sua própria cron.",1512.232
Guilherme Vieira,Para quê?,1514.932
Guilherme Vieira,Para ficar verificando a questão do investimento.,1515.612
Guilherme Vieira,"Então, por exemplo, cada 30 minutos, cada uma hora, todo dia eu quero fazer a verificação.",1521.392
Guilherme Vieira,"E aí aqui você tem a versão, que é o que a gente está usando, que ela sempre está mudando, então também é outra coisa que a gente sempre tem que estar de olho.",1527.312
Guilherme Vieira,"Aqui é o custo por ação alvo, o ROAS mínimo ali pra fazer qualquer alteração, quanto máximo que vai aumentar, redução máxima, e aí assim, aí depois lógico, depois a gente vai refinando aqui, você vai me passando exatamente o que mais levar em conta e tudo mais.",1533.884
Guilherme Vieira,"E a ideia é isso, então a cada X tempo aqui programado, ela vai lá, puxa todas as campanhas, vê o que rodou, como é que tá rodando e resultado.",1551.124
Guilherme Vieira,Vai e altera.,1560.648
Guilherme Vieira,"Alterou, de novo.",1561.748
Guilherme Vieira,Três horas depois continua vendo.,1563.088
Guilherme Vieira,"Ah, mantei a posição.",1564.868
Marcelo Kuwer,Aí eu pensei numa situação que a gente vai ter que criar algumas outras especificações.,1567.108
Marcelo Kuwer,"Por exemplo, eu vi uma conexão com a conta de anúncio de uma IA onde os caras criaram Eles espelham...",1575.108
Marcelo Kuwer,"Ah, foi mal.",1592.152
Guilherme Vieira,"Não, funcionou ao vivo aqui.",1593.852
Guilherme Vieira,Apareceu aqui para ver.,1595.572
Guilherme Vieira,"Não, beleza, continue.",1597.972
Marcelo Kuwer,Ele espelha as campanhas.,1599.032
